state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Chhattisgarh,Kondagaon,Food Poisoning,45,0,10-01-2025,10-01-2025,Under Surveillance,"Cases were reported from Health Facility: Bahigaon, Sub-District: Keskal. Cases presented with diarrhea and vomiting after consumption of food in a death ceremony. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on hygiene and sanitation."
Haryana,Gurugram,Acute Diarrheal Disease,59,0,08-01-2025,09-01-2025,Under Control,"Cases were reported from PHC: Bhangrola, Village: Sikanderpur Badha, Sub-District: Harsaru ST, District: Gurugram. Cases presented with diarrhea, fever, pain abdomen. All age groups were affected. Water samples sent to SSH Lab Sector 10, which were found to be fit. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Jammu and Kashmir,Baramulla,Hepatitis A,13,0,06-01-2025,07-01-2025,Under Surveillance,"Cases reported from Village Zamboor, Block Pattan, District Baramulla. Cases presented with chief complaints of fever, yellow discoloration of eyes and fatigue. The affected age group was 8-14 years. Total 6 blood samples were collected and sent to DPHL Baramulla, out of which 4 were positive for Hepatitis A IgM by ELISA. Two water samples were also collected and sent to DPHL Baramulla, both were found to be satisfactory. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Jammu and Kashmir,Ganderbal,Acute Hepatitis,16,0,10-01-2025,10-01-2025,Under Surveillance,"Cases reported from Bhat Mohalla, Huda Mohalla and Zadi Mohalla, Block Lar, District Ganderbal. Cases presented with chief complaints of fever, yellow discoloration of eyes, fatigue. The affected age group was 5-20 years. Total 6 blood samples were collected and sent to DPHL Ganderbal, all were positive for Hepatitis A IgM by ELISA. Three water samples were also collected and sent to DPHL Ganderbal. All were found to be satisfactory. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Jammu and Kashmir,Poonch,Acute Diarrheal Disease,16,0,08-01-2025,08-01-2025,Under Surveillance,"Cases were reported from a Madarsa in Village: Arai, Health Facility: Mendhar, Chatt, Sub-District: Mendhar, District: Poonch. Cases presented with diarrhea and vomiting. The affected age group was 8-15 years and 30-45 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Jharkhand,Dumka,Chickenpox,7,0,09-01-2025,10-01-2025,Under Surveillance,"Cases were reported from Village Kairabani, Sub-District Dumka, District Dumka. Cases presented with fever with rash. Age group of the affected cases was 4-15 years. Three blood samples were collected and sent to DPHL Dumka, all were positive for Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Vitamin A solution were given to susceptible. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Jharkhand,Dumka,Chickenpox,12,0,08-01-2025,09-01-2025,Under Surveillance,"Cases were reported from Village Namimahal, Sub-District Masalia, District Dumka. Cases presented with fever with rash. Age group of the affected cases was 1-12 years. Seven blood samples were collected and sent to DPHL Dumka, all were positive for Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Vitamin A solution were given to susceptible. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Jharkhand,West Singhbhum,Malaria (Plasmodium falciparum),15,0,11-01-2025,11-01-2025,Under Surveillance,"Cases were reported from Village Goelkera, Sub-District Chaibasa, District West Singhbhum. Cases presented with fever with chills. Total 47 blood samples were tested, out of which 17 were positive for Plasmodium falciparum by RDK. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Karnataka,Shivamogga,Kyasanur Forest Disease,5,0,10-01-2025,10-01-2025,Under Surveillance,"Cases were reported from PHC: Devangi, Village: Basavani, Sub-District: Tirthahalli, District: Shivamogga. Cases presented with fever malaise. Five samples were collected & sent for testing, all were positive for KFD by RTPCR. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
Kerala,Kottayam,Mumps,6,0,08-01-2025,08-01-2025,Under Surveillance,"Cases were reported from a school under PHC Karikattoor, Village: Manimala, Sub-District: Kanjirappally, District: Kottayam. Cases presented with fever and swelling of cheeks. The affected cases were in the age group of 4-7 years. All cases were diagnosed clinically. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Kerala,Kozhikode,Hepatitis A,47,0,01-01-2025,07-01-2025,Under Surveillance,"Cases were reported from FHC Kottur, Village: Avitanallur, Sub-District: Koyilandi, District: Kozhikode. Cases presented with jaundice after attending a social gathering on. 01-12-2024. Four samples were sent to Santhi hospital, one each from Malabar Medical College and Iqraa Hosital, all were positive for Anti-HAV IgM by ELISA. All other cases were epidemiologically linked cases. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Kerala,Malappuram,Hepatitis A,14,0,08-01-2025,08-01-2025,Under Surveillance,"Cases were reported from PHC Moothedam, Sub-District: Nilambur, District: Malappuram. Cases presented with jaundice. One sample was sent for testing, which was positive for Hepatitis A IgM by ELISA. All other cases were epidemiologically linked cases. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Kerala,Palakkad,Acute Gastroenterit is (Norovirus),5,0,07-01-2025,09-01-2025,Under Surveillance,"Cases were reported from CHC Pazhambalakode, Sub-District: Alathur, District: Palakkad. Cases presented with fever, diarrhea. One stool sample was collected and sent to State Public Health Lab, which was positive for Noro virus. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Kerala,Pathanamthitta,Chickenpox,12,0,09-01-2025,10-01-2025,Under Surveillance,"Cases were reported from a school under CHC Vallana, Village: Mallapuzhassery, Sub- District: Kozhenchery, District: Pathanamthitta. Cases presented with fever with rash. All cases were diagnosed clinically. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Kerala,Thrissur,Mumps,9,0,03-01-2025,08-01-2025,Under Surveillance,"Cases were reported from a school under FHC Varantharappilly, Village: Varandarappilly, Sub-District: Chalakkudy, District: Thrissur. Cases presented with fever with swelling of cheeks. Eight samples were sent for testing, all were positive for Mumps. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on mumps prevention and hygiene practices to teachers and staffs."
Kerala,Wayanad,Acute Gastroenterit is (Norovirus),29,0,06-01-2025,08-01-2025,Under Surveillance,"Cases were reported from a hostel under PHC Sugandhagiri, THQH Vythiri, District: Wayanad. Cases presented with vomiting, abdominal pain, nausea, and loose stools. Three rectal swabs were collected and sent to NIV Alappuzha, out of which one tested positive for Norovirus. Water samples were taken and sent to the KWA, Kalpetta, which were found to be potable. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,90,0,10-01-2025,10-01-2025,Under Surveillance,"Cases reported from PHC Rajpur, Village: Seji, Sub-District: Shadhora, District: Ashoknagar. Cases presented with loose motion, vomiting and abdominal pain. All age groups were affected. Five stool and water samples were collected and sent to DPHL Bhopal. One stool samples was positive for Salmonella spp. All water samples were found to be non-potable. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Maharashtra,Raigad,Leptospirosis,15,1,31-12-2024,06-01-2025,Under Control,"Cases were reported from PHC: Ambewadi, Village: Borghar, Sub-District: Roha, District: Raigad. Cases presented with fever. One sample was sent to Civil Hospital Alibag, which was positive for Leptospirosis IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Death of a 65 year old male had occur due to the illness at Civil Hospital Alibag on 31-12- 2024 (positive for Leptospirosis)."
Meghalaya,West Jaintia Hills,Malaria,6,0,08-01-2025,08-01-2025,Under Control,"Cases were reported from Nartiang PHC, Sub- District: Thadlaskein, District: West Jaintia Hills. Cases presented with fever and chills. The most affected cases were below 10 years of age. RDT was done at MCH Hospital, Jowai, which were positive for Malaria (Plasmodium falciparum). District RRT investigated the outbreak. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
Odisha,Jajapur,Measles,11,0,10-01-2025,10-01-2025,Under Surveillance,"Cases reported from Health Facility: Markandapur, Village: Bankasahi, Sub- District: Jajpursadar, District: Tiruvannamalai. Cases presented with symptoms of fever with rash. The most affected age group was 5-14 years. Five blood samples were collected & sent to ICMR-RMRC Bhubaneswar, all were positive for Anti-Measles IgM by ELISA. All other cases were epidemiologically linked cases. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Tamil Nadu,Dindigul,Mumps,13,0,09-01-2025,10-01-2025,Under Control,"Cases were reported from a school under Thottanuthu PHC, Village: Jambuliampatti, Sub-District: Dindigul East, District: Dindigul. Cases presented with fever, swelling of cheeks. The affected age group was 6-10 years. Five throat swab & serum samples were sent to Kings Institute, Guindy, out of which 2 throat swabs & 4 serum samples were positive for Mumps RT-PCR & Mumps IgM by ELISA, respectively. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Tamil Nadu,Pudukkottai,Chikungunya,20,0,06-01-2025,08-01-2025,Under Control,"Cases were reported from Adanakkottai CHC, Village: Ganapathipuram, Sub-District: Pudukkottai, District: Pudukkottai. Cases presented with fever. Total 14 serum samples were sent to IVCZ Hosur, DPHL Thiruvarankulam, out of which 5 were positive for Chikungunya IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
Tamil Nadu,Tenkasi,Chickenpox,13,0,08-01-2025,09-01-2025,Under Control,"Cases were reported from Nettur CHC, Village: Thattaparai, Sub-District: Alangulam, District: Tenkasi. Cases presented with fever, itchy rash. 5 Serum samples were sent to King institute, Chennai, out of which 5 were positive for Chickenpox (Varicella Zoster) IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Tamil Nadu,Tiruvannamalai,Chickenpox,16,0,09-01-2025,10-01-2025,Under Control,"Cases were reported from Pudupalayam PHC, Sub-District: Chengam, District: Tiruvannamalai. Cases presented with fever with rash. The most affected age group was 1- 15 years. All cases were diagnosed clinically. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Tamil Nadu,Tuticorin,Mumps,13,0,07-01-2025,09-01-2025,Under Control,"Cases were reported from Pudukottai CHC, Pudukottai CH, Village: Mullakkadu Part 2, Sub-District: Thoothukkudi, District: Tuticorin. Cases presented with fever. The affected age group was 1-10 years. 2 Serum sample, 2 Throat swabs were sent to King Institute of Preventive, Guindy Chennai, out of which 2 serum samples were positive for Mumps IgM by ELISA & 1 throat swab for Mumps by PCR. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
West Bengal,Howrah,Acute Diarrheal Disease,57,0,03-01-2025,06-01-2025,Under Surveillance,"Cases were reported from Howrah District Hospital, District: Howrah. Cases presented with loose motion, pain abdomen, few cases of mild fever and vomiting. The most affected age group was 15 to 44 years. Four water samples were collected & sent to Howrah District Hospital for bacteriological testing, out of which 3 showed presence of Coliform. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation. The outbreak might be caused by consumption of contaminated water due to pipeline leakage."
Arunachal Pradesh,Pakke Kessang,Human Rabies,1,1 25-12-2024,,,Under Surveillance,"Cases were reported from CHC Seijosa, Village Niti Darlong, Sub-District: ADC Seijosa, District Pakke Kessang. A 39 year old male presented with hydrophobia, fever, weakness with myalgia and Transdermal bites (CAT- III). The case didn’t take rabies vaccine. District RRT investigated the outbreak. Case was treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation. The case expired on 25-12-2024 due to suspected rabies infection."
Madhya Pradesh,Chhatarpur,Measles,9,0 17-12-2024,,,Under Surveillance,"Cases reported from Ward 20 & 31 of Chhatarpur Urban. Cases presented with fever with rash, cough. The affected age group was 1-11 years. Nine blood serum samples were sent to ICMR Jabalpur, out of which 7 were positive for Measles IgM by ELISA. All other cases were epidemiologically linked cases. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Meghalaya,West Jaintia Hills,Scrub Typhus,15,0,08-12-2024,,Under Surveillance,"Cases reported from from Barato PHC, Laskein Block. Cases presented with what symptoms of fever and body ache. The affected individuals were above 15 years of age. Three samples were sent to DPHL, Ialong Civil Hospital, Jowai, which were positive for Scrub Typhus IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
