state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Gujarat,Kheda,Acute Flaccid Paralysis (Epstein Bar Virus & Human Herpes Virus 7),02,0.0,27-02-22,28-02-22,Under Surveillance,"Cases reported from Village Kalsar, Vanoti; SC Kalsar-2, Vanoti; PHC Nesh, Dhunadara; Block Thasra; District Kheda. Cases presented with weakness of lower limbs and myalgia. Two nasopharyngeal, two oropharyngeal and three blood samples were sent to Shree Krishna Hospital Karamsad Di Anand. Both the nasopharyngeal swabs were positive for (Epstein Bar Virus & Human Herpes Virus-7). District RRT visited the affected area. House to house surveillance for active cases was done. Health education was given."
Gujarat,Mahisagar,Acute Flaccid Paralysis,02,0.0,24-02-22,25-02-22,Under Surveillance,"Cases reported from Village Moti Sarsan, Virpur; PHC Sarsan, Bar; Block Santrampur; District Mahisagar. Cases presented with weakness of lower limbs and myalgia. One blood sample was sent to SSG Hospital Vadodara and two water samples were sent WASMO Mahisagar. The blood sample showed no presence of organism. Both the water samples were found fit for drinking. District RRT visited the affected area. House to house surveillance for active cases was done. Health education was given."
Gujarat,Mahesana,Food Poisoning,1268,0.0,05-03-22,05-03-22,Under Surveillance,Cases reported from Village Savala; SC Kansarakui; PHC Kansarakui; Block Visnagar; District Mahesana. Cases presented with vomiting and abdominal pain. 29 stool samples and vomitus sample were sent to GH Mehsana and GMERS Vadnagar. Food sample was sent to F&D Department. Result awaited. All the stool and vomitus samples showed no organism. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water and properly cooked food.
Jharkhand,West Singhbhum,Food Poisoning,09,0.0,03-03-22,04-03-22,Under Surveillance,"Cases reported from Kasturba Ghandhi Balika Vidhayalay, Block CKP, District West Singhbhum. Cases presented with vomiting and dehydration. District RRT investigated the outbreak. Apparently, students had consumed food in the hostel mess. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water, food hygiene and sanitation. Cases reported from Malippuram, PHC"
Kerala,Ernakulam,Acute Diarrheal Disease,21,0.0,24-02-22,07-03-22,Under Surveillance,"Nayarambalam, Nedungad, Ward 5. Cases presented with abdominal discomfort, abdominal pain, loose stools, vomiting, fever and head-ache. Two stool samples and five water samples were send to RPH lab for bacteriological test. Of these, four samples were found satisfactory and one showed non-fecal contamination. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Karnataka,Tumakuru,Acute Diarrheal Disease,27,0.0,03-03-22,04-03-22,Under Control,"Cases reported from Taluk CN Halli, District Tumakuru. Cases presented with abdominal pain and loose stools. Five water samples were sent for lab investigations. Of these, four water samples were found unfit for consumption. Three stool samples were sent for lab testing. Of which, one sample showed presence of Enteropathogenic E.coli. District RRT investigated the case. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Maharashtra,Akola,Food Poisoning,102,0.0,01-03-22,02-03-22,Under Control,"Cases reported from Village & SC Ghungashi, PHC Parad, Murtizapur, District Akola. Cases presented with vomiting and loose stools. Food Sample was taken by Food & Drugs Department and result is still awaited. District RRT investigated the outbreak. People had apparently gathered for a birthday party and consumed food. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water and properly cooked food."
Telangana,Hanumakonda,Food Poisoning,22,0.0,02-03-22,03-03-22,Under Control,"Cases reported from MPPS Primary School, Village Sriramulapally, PHC Kamalapur, District Hanumakonda. Cases presented with vomiting and abdominal pain. Water samples were collected and sent to RWS. Results awaited. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water and properly cooked food."
West Bengal,South 24 Parganas,Acute Diarrheal Disease,21,0.0,23-02-22,23-02-22,Under Control,"Cases reported from DHHD, DH Municipality, Ward No. 2. Cases presented with loose stools, fever, vomiting, and abdominal pain. Five rectal swabs were sent to Diamond Harbour Govt. Medical College and Hospital. No growth was found in any of the samples. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water and properly cooked food."
West Bengal,North 24 Parganas,Acute Diarrheal Disease,359,1.0,05-03-22,06-03-22,Under Surveillance,"Cases reported from ward no 8,9,10,12 ,13, 14/ Halisahar Municipality/ District North 24 Parganas. Cases presented with loose stools and abdominal pain. The deceased case was a 36 years old female. Four water samples were sent to NICED for microbiological testing and four to PHE Water lab for chlorine test. Three stool samples were sent to the NICED. It was found that residual free chlorine level was <0.1 mg/L for four water samples. Results for water and stool samples from NICED are awaited. District RRT investigated the case. Food was discarded and hence was not collected. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Jharkhand,DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE Simdega,Chickenpox,12,0.0,07-02-,Under 22 Control,Cases reported Chadrimunda Cases presented with fever and rashes. were collected sen investigation. positive for Varicella Zoster Virus by Patients investigated the outbreak. villagers,"from Village Jalpi Kasdega, HSC , CHC & Block Kurdeg, District Simdega. 4 blood samples t to the RIMS Ranchi for laboratory All the collected samples were found IgM ELISA positive. were treated symptomatically. District RRT Heath education was provided to regarding chickenpox."
West Bengal,Howrah,Viral Hepatitis A,60,0.0,02-02-,Under 22 Surveillance,"Cases reported from Dhar Lane, Chasipara under HMC WARD 63 abdominal pain, jaundice and vomiting. Five were collected from suspected taps and household sent to NICED samples. Seven b with high bilirubin and high SGPT, SGOT NICED. by IgM ELISA Hepatitis Symptomatic Chlorine tablets and bleaching powder were distributed. Pipelines were also repaired. Health education was given regarding importance of safe drinking and sanitation.","Bhujanga Dhar Lane, Satyasadhan Liluah Potuaparatua Para, , District Howrah. Cases presented with water samples s and . No organism was found in any of the water lood samples were collected from patients and were sent to All blood samples tested positive for Hepatitis A and one sample was also found positive for E. District RRT investigated the outbreak. treatment was given to all the cases. water, food hygiene"
Gujarat,Navsari,Acute Diarrheal Disease,57,0.0,08-03-22,08-03-22,Under Surveillance,"Cases reported from Village Kharsad Kodgara Faliya, SC Kharsad, PHC Krishnapur, Block Jalalpor, District Navsari. Cases presented with loose stools and abdominal pain. Two water samples and two stool samples were sent to DPHL Navsari. Both the water samples were found to be safe for drinking and no organism was found in stool samples. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets and ORS sachets were distributed. Health education was given regarding importance of"
Gujarat,Gandhinagar,Acute Diarrheal Disease,14,0.0,06-03-22,06-03-22,Under Surveillance,"safe drinking water and sanitation practices. Cases reported from Village/Block Kalol, PHC Urban Area, District Gandhinagar. Cases presented with loose stools, abdominal pain and vomiting. No samples were collected for lab analysis. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets and ORS sachets were distributed. Health education was given regarding importance of safe drinking water and sanitation practices. Cases reported from Village/Block Borsad, PHC"
Gujarat,Anand,Acute Gastroenteritis,24,1.0,05-03-22,03-03-22,Under Surveillance,"Borsad Urban, District Anand. Cases presented with loose stools, abdominal pain and vomiting. Nine stool samples and four water samples were sent to DPHL Petlad, Anand. Stool samples showed no organism and water samples were found unfit for drinking. The deceased case was a 6 year old female. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets and ORS sachets were distributed. Health education was given regarding importance of safe drinking water and sanitation practices."
