state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
,Guna,vii. Food Poisoning,65 / 0,,06.07.09,06.07.09,Under Control,Outbreak reported from Dumela village under Bamori CHC due to consumption of contaminated food by the villagers. Dist RRT visited the affected area. All cases treated and health education given regarding sanitation and hygienic practices.
,Ujjain,viii. Food Poisoning,20 / 0,,01.07.09,01.07.09,Under Control,"Outbreak reported from Khog Darwaja village, Badnagar. Symptoms of vomiting and pain abdomen started about three hours after consumption of food at a marriage function which was probably contaminated. RRT visited the affected area. All cases treated. Food sample not available for lab analysis."
,Mandsaur,ix. Acute Diarrhoeal Disease,156 / 0,,27.06.09,27.06.09,Under Control,Outbreak reported from Runija village Sector Suwasara due to consumption of contaminated water. RRT visited the affected area. Chlorination of water sources done. Water samples collected and sent for investigation to lab.
,Neemuch,x. Food Poisoning,1200/ 0,,05.07.09,05.07.09,Under Control,"Outbreak reported from Sawan village, Block Manasa due to consumption of contaminated food on occasion of Maratu Bhoj (Terahwa) in village. District RRT visited the affected area. About 400 cases admitted in various nearby hospitals for treatment. Food, water and stool samples collected and sent for analysis; lab result awaited. Health education given regarding food hygiene."
,Morena,xi. Acute Diarrhoeal Disease,59 / 0,,03.07.09,03.07.09,Under Control,"Outbreak reported from Kishore Kapura village, Babripura subcentre (approx. 30 km away from CHC Sabalgarh) under Sabalgarh Block, due to consumption of contaminated water. Block level medical team and district RRT visited affected area. All curative and preventive measures taken. Water and stool samples sent for lab investigation to PHE dept., Morena."
Punjab,Ludhiana,xii. Food Poisoning,19 / 0,,30.06.09,30.06.09,Under Control,"Outbreak reported from New Gagandeep Colony, Kakoual road, under Basti Jodhewal (urban area) due to consumption of contaminated water. RRT investigated the outbreak. All cases admitted at Civil Hospital, Ludhiana. Health education given regarding food hygiene."
Rajasthan,Banswara,xiii. Acute Diarrhoeal Disease,60 / 0,,04.07.09,04.07.09,Under Control,Outbreak reported from Daduka village under Gari PHC of Pratapur Block. Dist RRT visited the affected area. Door to door surveillance done for new cases. All cases treated. Water samples taken for lab analysis; result is awaited. Chlorination of water sources done. IEC activities done.
Tamil Nadu,Krishnagiri,xiv. ?Chikungunya,5 / 0,,30.06.09,01.07.09,Under Control,"Cases reported from Valluvarpuram village, Chinthagampalli PHC under Bargur Block. 15 blood smears collected tested negative for malaria. Investigation done by dist RRT. High larval (Aedes) density found on entomological survey. House to house survey being done for new fever cases."
,Peramballur,xv. Viral fever,47 / 0,,03.07.09,06.07.09,Under Control,"Outbreak reported from Perunlia village, Perunila PHC with cases presenting with fever, headache, cough and myalgia. All cases treated symptomatically and preventive measures undertaken like source reduction, larval density monitoring, water chlorination, etc. Dist RRT investigation done. Water and sera samples sent to KAP, Viswanathan Medical College, Trichy for lab investigation; result awaited."
,Thanjavur,xvi. Acute Diarrhoeal Disease,32 / 0,,03.07.09,06.07.09,Under Control,"Oubtreak reported from Mathuran Pudhukottai village, Alakudi PHC due to consumption of contaminated water. Treatment of patients done at Vallam PHC. Investigation done by RRT. Water samples sent for lab analysis; report awaited. Chlorination and disinfection of all drinking water sources done. IEC activities done."
Uttarakhand,Haridwar,xvii. Acute Diarrhoeal Disease,134 /1,,26.06.09,28.06.09,Under Control,"Outbreak reported from Bhattipur, PHC Pherupur, Block Bahadarabad due to consumption of contaminated food and water. Cases admitted at District Hospital. Active case search done. IEC activities done for safe drinking water, safe food habits and personal hygiene. Water sample found positive for faecal contamination by H S strip test; MPN test result awaited. 2 Stool samples have been sent for investigation of cholera; result awaited."
,Pauri Gharwal,xviii. Food poisoning,74 / 0,,28.06.09,28.06.09,Under Control,"Outbreak reported from Ramorakhal village, Kamargad, Minthi, Panchyur, Kimadhkolyu P.O. Jamlakhal of Kot Block due to consumption of contaminated food. District RRT Team and medical team of PHC treated cases, and provided health education. No food sample available for lab analysis."
West Bengal,Nadia,xix Acute Diarrhoeal Disease,24 / 0,,27.06.09,27.06.09,Under Surveillance,"Outbreak reported from Nadia, GP-Joania, Bishnupur village probably due to consumption of contaminated water or food. Block RRT visited the affected area. Water and food samples sent for lab analysis; result awaited. ORS packets distributed among the affected people. IEC activities undertaken."
Assam,Golaghat,xx. Malaria,5 / 2,,,,Under Control,"Cases reported from Methoni tea estate, Alami Barjuri bosti under Kohora PHC of Bokakhat block, near the forest reserve ‘Japari Pathar’, Karbianlong border (3cases/1death); and from Bheloguri village, Cholongpathar subcentre, under Kamarbandha Ali PHC of Merapani CHC (2cases/1death). Out of 108 blood smears collected from fever cases in Bokakhat block, three tested positive for P. falciparum; and out of 70 slides collected in Kamarbandha block, two tested positive for P.falciparum. Medical camp held for treatment of cases. Focal DDT spray done, ITBN distributed and IEC activities done in the affected areas."
Madhya Pradesh,Dindori,xxi. Acute Diarrhoeal Disease,56 / 3,,,,Under Control,"Outbreak reported from Bhapur village, CHC Mehandwani due to consumption of contaminated water. Water sample sent for lab analysis; result awaited. Dist RRT visited the affected area. All cases treated and measures undertaken for supply of safe drinking water. Health education given regarding sanitation and hygiene."
,Seoni,xxii. Acute Diarrhoeal Disease,6 / 1,,,,Under Control,"All cases are members of a family from Ghotkheda village, Block Ghansor. Cases presented with diarrhea and vomiting due to consumption of contaminated food and water. Stool and water samples sent for investigation; result awaited. RRT visited the affected area, treated the cases and advised chlorination of drinking water sources. Health education given regarding sanitation and hygienic practices."
,Ujjain,xxiii. Food poisoning,19 / 0,,,,Under Control,"Cases reported from Khachrod village, Station Road with symptoms of gastroenteritis probably due to consumption of contaminated food. RRT visited the affected area. All cases admitted in hospital for treatment. IEC activities undertaken."
Orissa,Sundergarh,xxiv. ? Anthrax,15 / 0,,,,Under Control,"Outbreak reported from Pindapathar village, G.P Tangragaon under Subdega block (12 cases) and Dhudinuagaon village under Balisankara block (3 cases). Blood smears from cases (diagnosed clinically) sent to Microbiology Dept. of VSS Medical College, Burla, for examination; reports awaited. All cases treated with antibiotics. Health education given regarding prevention and control measures."
Uttarakhand,Almora,xxv. Acute Diarrhoeal Disease,16 / 1,,,,Under Control,"Outbreak reported from PHC Dhola Devi due to consumption of polluted rain water. Water and stool samples sent for lab investigations; reports awaited. Community advised about consumption of safe drinking water, regular cleaning and chlorination of water sources, etc."
,Nainital,xxvi. Viral Hepatitis,52 / 0,,,,Under Control,Outbreak reported from Kotabagh Block due to consumption of contaminated water. People advised to use safe portable and boiled water. Chlorine tablets distributed. Water samples found contaminated on testing. Stool samples sent for lab analysis; result awaited.
West Bengal,,xxvii. Measles,17 / 3,,,,Under Surveillance,"Outbreak reported from Bathangachi village, Bhurulia sub centre, Plassey-1 GP of Kaliganj Block. Block RRT visited the affected area. Medical camp held with medical officer and other staff. House to house survey done for cases with fever and rash. Blood samples collected and sent to ICMR virus unit of ID&BG Hospital. Isolation and treatment of cases advised."
,,xxviii. Acute Diarrhoeal Disease,119/ 0,,,,Under Surveillance,"Outbreak reported from Nadia, Krishnanagar, Naikura village. Block RRT visited the affected village. Anti diarrhoeal tablets, ORS packets distributed. Disinfection and chlorination of water sources done. IEC activities undertaken."
Andhra Pradesh,Adilabad,i. Acute Diarrhoeal Disease,25 / 0,,07.07.09,08.07.09,Under Control,Outbreak occurred at Jhari village under Tanoor PHC due to consumption of contaminated water. Door to door surveillance done by paramedical teams. Water sample collected for bacteriological examination; reports awaited. Gram Panchayat authorities taking steps for chlorination and disinfection of water sources. Health awareness camps organized on general sanitation and safe drinking water.
,Kadapa,ii. Acute Diarrhoeal Disease,50 / 0,,11.07.09,12.07.09,Under Control,Outbreak reported from ward 10 & 11 of Vepurala sub-centre under Mylavaram PHC due to consumption of contaminated water. District Rapid Response Team (RRT) along with PHC medical team visited the affected area and control measures were undertaken. Chlorination of water sources done and ORS packets distributed. IEC activities undertaken.
Daman & Diu,Daman,iii. Acute Diarrhoeal Disease,33 / 0,,07.07.09,07.07.09,Under Control,Outbreak reported from Kevdifalia area of Dhabel village due to consumption of contaminated water from bore well. District RRT along with PHC Medical Officer visited the area. The bore well water sample on analysis found contaminated and hence alternate drinking water supply provided. Chlorine tablets distributed. IEC activities undertaken and health education given regarding sanitation and hygienic practices.
Gujarat,Bhavnagar,iv. Acute Diarrhoeal Disease,1251 / 1,,05.07.09,06.07.09,Under Surveillance,"Outbreak reported from Palitana Village, Palitana Nagar Palika Area, Palitana Taluka, due to consumption of contaminated water. Dist RRT investigated the outbreak. Leakages found in water pipeline. Stool samples sent for lab analysis; result awaited. Water samples on testing found contaminated. Health education given regarding sanitation and hygienic practices."
,,v. Acute Diarrhoeal Disease,24 / 1,,09.07.09,12.07.09,Under Surveillance,"Outbreak reported from SandhKhakhara village, PHC Mangadh, Taluka Gariadhar, due to consumption of contaminated water. Water samples on testing found contaminated. Stool samples sent for lab analysis; result awaited. Dist RRT investigated the outbreak. Chlorination and disinfection of water sources done. IEC activities undertaken."
Karnataka,Bijapur,vi. Acute Diarrhoeal Disease,74 / 0,,06.07.09,06.07.09,Under Control,"Outbreak reported from Kanamadi village, PHC Kanamadi, Taluka Bijapur due to consumption of contaminated water. House to house survey done for new cases. Water samples collected for lab analysis; result is awaited. Chlorination of open well and cleaning of ground level storage tank done. Safe drinking water supplied by tankers. Halogen tablets and ORS packets distributed. Health education given."
Karnataka,Koppal,vii. Acute Diarrhoeal Disease,35 / 0,,06.07.09,07.07.09,Under Control,"Outbreak occurred at Hale village, Hirebenakal headquarter under Venkatgiri PHC of Gangavathi Taluka due to consumption of contaminated water caused by defective water pipeline. Water samples sent for analysis; result awaited. District Surveillance Officer with medical staff visited affected village and discussed with Panchayat representatives, local leaders and general public of the village about prevention and control measures."
Punjab,Barnala,viii. Acute Diarrhoeal Disease,408 / 0,,05.07.09,05.07.09,Under Observation,"Outbreak reported from Salani patti, Handiaya village under Dhanaula CHC, due to consumption of contaminated water. Medical team stationed at affected village for treatment of cases. Water samples collected for lab analysis; result awaited. Chlorination and disinfection of water sources done. Chlorine tablets and ORS packets distributed. Health education given."
Rajasthan,Dholpur,ix. Food poisoning,50 / 0,,08.07.09,08.07.09,Under Control,Cases presented with diarrhoea and vomiting on 8 July after consumption of contaminated stale food which was left over after a community feast held on 6 July at Naya Nagla village under PHC Basai Nawab. Most of the cases were children. All cases treated. House to house survey done for new cases. Food samples not available for analysis. Water samples collected for lab testing; result is awaited. Health education and other IEC activities undertaken regarding food hygiene.
Tamil Nadu,Cuddalore,x. Acute Diarrhoeal Disease,34 / 0,,06.07.09,06.07.09,Under Control,"Outbreak reported from Ayeekuppam village, PHC Kullanchavadi and Block Kurinipadi due to consumption of contaminated water. Chlorination and disinfection of water sources done. Chlorine tablets and ORS packets distributed. Health education given regarding sanitation and hygiene."
,Theni,xi. Chikungunya,50 / 0,,07.07.09,13.07.09,Under Control,"Cases reported from Boothipuram village, PHC Dobucherry, Bodinayakanur block. Four sera samples tested positive for Chikungunya at Govt. Medical College Hospital, Theni. House to house fever survey done. On entomological survey, high density of Aedes larvae found in water storage containers in the houses. Source reduction measures and fogging operations done. Health education given regarding personal protection measures."
,Thiruvannnam alai,xii. Acute Diarrhoeal Disease,36 / 0,,06.07.09,06.07.09,Under Control,"Cases reported from T.Vellore village, Malamanjanur PHC due to consumption of contaminated water. Medical team deployed in the village for treatment of cases. Chlorination of drinking water done. Chlorine tablets and ORS packets distributed. Health education given. Water and stool samples collected and sent to King Institute, Guindy for analysis; reports awaited."
Karnataka,Belgaum,xvi. Acute Diarrhoeal Disease,10 / 0,,,,Under Control,"Outbreak reported from Chandanhosur village, Hirebagewadi PHC, Belgaum Taluka due to consumption of contaminated water from open well. Alternative safe drinking water made available for drinking purposes. Halogen tablets and ORS packets distributed. Water samples sent for testing of fecal contamination; result awaited. Health education given regarding sanitation and hygiene."
,Davangere,xvii. Acute Diarrhoeal Disease,19 / 0,,,,Under Control,"Outbreak reported from Malahal village, Goppenahalli PHC due to consumption of contaminated water. Water and stool samples collected for examination; reports awaited. Chlorination and disinfection of water sources done. Instruction given to Gram Panchayat secretary to repair pipeline leakage. IEC activities undertaken."
Orissa,Sundergarh,xviii. Acute Diarrhoeal Disease,76 / 1,,,,Under Control,Outbreak reported from Tumulia and Chakarapur villages under Hemgir block due to consumption of contaminated water. Cases treated with antibiotics. Chlorination and disinfection of open wells done and ORS packets distributed. Health education given regarding sanitation and hygienic practices.
Assam,Sivasagar,AES (Japanese Encephalitis),51 / 15 *,,,,Under Surveillance,"Cases reported from Galakey, Demow, Sapekhati, Khelua and Morabazar BPHC with history of fever and unconsciousness or altered sensorium. 17 samples of serum and CSF tested positive for Japanese Encephalitis at Assam Medical College Hospital and RMRC, Dibrugarh. State programme officer of NVBDCP taking control of situation along with medical officer and paramedical staff. Active surveillance being done to find new cases. Bed nets distributed and health education given about personal prophylactic measures."
Manipur,East Imphal,Rubella,31 / 0 *,,,,Under Control,"Cases reported from Sagolmang block with symptoms of fever, maculopapular rash, running nose, red eye and dry cough. Dist RRT investigation done. Nine serum samples tested at NICD, Delhi, found positive for Rubella IgM antibodies. Vitamin A solution given to all susceptible children."
Orissa,Koraput,Cutaneous Anthrax,6 / 1 *,,,,Under Surveillance,"Outbreak occurred in Handapur (5 cases) and Gumphalguda (1 case) villages under Gunthaput GP, PHC Kunduli of Similiguda Block due to handling and consumption of meat of infected dead cattle. Cases under treatment. IEC activities done for creating awareness among the villagers not to consume meat of dead animals and to properly dispose dead animals. The situation is being closely monitored in coordination with Dept. of Animal Husbandry."
Punjab,Mohali,Cholera,412 / 0 *,,,,Under Surveillance,"Cases reported from Mohali village, due to consumption of contaminated water caused by intermixing of sewer flow in water pipeline. Water samples on lab analysis found unfit for drinking purpose. Five out of eight stool samples tested positive for V.cholerae. Chlorine tablets and ORS sachets distributed in the affected area. Health education given regarding sanitation and hygiene."
Andhra Pradesh,Adilabad,i. Acute Diarrhoeal Disease,20 / 0,,15.07.09,17.07.09,Under Control,Cases reported from Bazarhatnoor village under PHC Bazarhatnoor due to consumption of contaminated water caused due to water pipeline leakge. Water samples collected for lab analysis; result awaited. Medical camp conducted for treatment of cases and paramedical teams formed for door to door surveillance. Chlorination of water sources done. Health awareness camps organized on general sanitation and safe drinking water. Gram Panchayat authorities instructed regarding regular disinfection of water sources and village sanitation.
,Medak,ii. Food Poisoning,44 / 0,,16.07.09,17.07.09,Under Control,"Outbreak reported from neighboring villages of Venkatapur, (Kowdipally PHC) and Kotyal (Mulugu PHC) due to consumption of contaminated food. Water and stool samples on lab analysis showed only coliform bacteria. Food samples not available for analysis. Health education given regarding food hygiene. IEC activities organized to create awareness regarding sanitation and hygienic practices."
Chhattisgarh,Sarguja,iii. Food Poisoning,31 / 2,,15.07.09,20.07.09,Under Surveillance,"Outbreak reported from Chirmauhwa village, Dandkarnwa section, Dandkarnwa PHC, Ramkola, Block Pratappur probably due to consumption of contaminated poisonous leafy vegetable by all affected. Investigation done by District Rapid Response Team (RRT). Samples of stool and water sent to district lab for analysis; result awaited. Death of two children aged 8yrs and 9 yrs reported. Eleven cases referred to the District Hospital, Ambikapur for treatment. IEC activities done regarding food hygiene and sanitation measures."
Punjab,Sangrur,iv. Acute Diarrhoeal Disease,15 / 0,,20.07.09,20.07.09,Under Control,"Outbreak reported from Maler, Bhumsi, Saidhe wala Mohalla (Malerkotla town) due to leakage of sewage water and mixing with drinking water pipeline. Chlorination and disinfection of water sources done. Water sample collected for bacteriological examination; reports awaited. Health education given regarding sanitation and hygienic practices."
Rajasthan,Chittorgarh,v. Acute Diarrhoeal Disease,46 / 0,,15.07.09,17.07.09,Under Control,"Outbreak reported from Mangrole village, Arnoda PHC, Block Nimahera due to consumption of contaminated water. Dist RRT investigated the outbreak. Water sample collected for lab investigations; reports awaited. Disinfection and chlorination of drinking water supply done. IEC activities done in affected area."
Rajasthan,Pali,vi. Food Poisoning,12 / 0,,17.07.09,17.07.09,Under Control,"Cases reported from Marudhar Mahila Siksan Sansthan, Vidhavari, Khimale Block Rani, due to consumption of common contaminated food (cake). Food sample not available for analysis. All cases recovered. Health education given regarding sanitation and food hygiene."
Tamil Nadu,Salem,vii. ?Chikungunya,24 / 0,,15.07.09,20.07.09,Under Control,"Cases reported from Jaya theatre colony, Sarkar kottapatty PHC, with symptoms of fever, joint pain and difficulty in walking. RRT investigation done. Blood smears collected from fever cases found negative for malaria. Serum sample collected and sent to Zonal Entomological Team (ZET), Salem for investigation; result awaited. Health education given regarding personal prophylactic measures."
,Virudhunagar,viii. Acute Diarrhoeal Disease,20 / 0,,18.07.09,20.07.09,Under Surveillance,"Outbreak reported from Senalyarpuram colony, Thiruthangal PHC due to consumption of contaminated water from lorry. Medical team deployed to affected area to treat cases. RRT investigation done. Chlorination and disinfection of water sources done."
Uttar Pradesh,Sitapur,ix. Food Poisoning,10 / 3,,17.07.09,21.07.09,Under Control,"Outbreak reported from Fattapur village, Atariya PHC under Sidhauli Block probably due to consumption of contaminated food. Cases presented with pain abdomen, vomiting and loose motion. Health education given regarding sanitation and hygienic practices."
