state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Kerala,Ernakulam,Food Poisoning,40,0.0,24-11-17,26-11-17,Under Control,"Cases reported from urban areas of Ernakulam, Cochin Corporation. District RRT investigated the outbreak. House to house survey done. Cases consumed food in a social ceremony. All cases treated symptomatically. Health education given."
Maharashtra,Kolhapur,Dengue,1,1.0,21-11-17,23-11-17,Under Surveillance,"Casereported from Shri Ram Nagar, SC / PHC Unchagaon, Block Karveer. District RRT investigated the outbreak. House to house survey done. 01 blood sample collected sent to Private lab Morya Hospital result Dengue positive. All cases treated symptomatically. Source reduction activities undertaken. Health education given. Deceased was 53 yrs old female."
Maharashtra,Nashik,Acute Diarrheal Disease,251,0.0,17-11-17,24-11-17,Under Surveillance,"Cases reported from Village/ SC Devali Karad, PHC Tirhal, Block Kalwan. District RRT investigated the outbreak. House to house survey done. Out of 08 Water samples tested at DPHL Nashik 3 were found to be non-potable and 03 stool samples sent to NIV Pune result awaited. All cases treated symptomatically. Health education given."
Madhya Pradesh,Ashok Nagar,Chickenpox,8,0.0,24-11-17,25-11-17,Under Control,"Cases reported from Village Gram-Chhe Ghara Colony Ward No 22 Ashoknagar, SHC Urban Ashoknagar, Block Ashoknagar. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given."
Madhya Pradesh,Chhatarpur,Measles,5,0.0,17-11-17,25-11-17,Under Control,"Cases reported from Village Padawar, PHC Pahara, Block Gourihar. District RRT investigated the outbreak. House to house survey done. Cases were 4-6 years of age. All 05 serum samples tested at GMC Lab Bhopal found positive for IgM Measles. All cases treated symptomatically. Health education given."
Madhya Pradesh,Ujjain,Food Poisoning,61,0.0,23-11-17,25-11-17,Under Control,"Cases reported from Village Gopal Dharmshala, Gandhi Nagar Gali No. 2 Mahidpur, Block Jharda. District RRT investigated the outbreak. House to house survey done. Majority of cases were 15-30 years of age. All cases had consumed sweets at evening and onset of symptoms after 2 hours. Health camp organized in the school and all cases treated symptomatically. Health education given."
Odisha,Koraput,Acute Diarrheal Disease,12,0.0,17-11-17,20-11-17,Under Control,"Cases reported from Kasturba Gandhi Balika Vidyalaya, CHC Lamtaput. District RRT investigated the outbreak. All cases had consumed Milk, Biscuit, Dal, Rice and Chicken in dinner. All cases treated symptomatically. Health education given."
Telangana,Nizamabad,Food Poisoning,23,0.0,25-11-17,26-11-17,Under Control,"Cases reported from Village Girls Residential School, Yedpally, PHC Yedpally. District RRT investigated the outbreak. House to house survey done. Most people had symptoms of vomiting with diarrhea 3-5 hours after taking food.12 water samples taken and sent to Regional Lab, Nizamabad. Food samples collected by food inspector accompanying the team. Results awaited for both. Health camp organized in the school and all cases treated symptomatically. Health education given."
Uttar Pradesh,Aligarh,Suspected Measles,20,0.0,23-11-17,25-11-17,Under Surveillance,"Cases reported from Village Nagla Alia Aligarh, Block Bijoli. District RRT investigated the outbreak. House to house survey done. Age groups affected 18 months to 15 years. 6 blood sample had been taken and send to MVIDH Delhi, result awaited All cases treated symptomatically. Health education given."
Bihar,Nalanda,Measles,12,0.0,02-11-17,,Under Control,"Cases reported from Village Malahbigha, HSC/PHC Maniawyan, CHC/Block Silao. District RRT investigated the outbreak. House to house survey done. Age group affected was 3 to 12 years. Out of 05 serum samples tested at PMCH, Patna, 4 were found positive for Measles. All cases treated symptomatically. Health education given."
Delhi,South East,Measles,40,0.0,04-09-17,,Under Surveillance,"Cases reported from Gyasspur Sarai Kale Khan. District RRT investigated the outbreak. House to house survey done. Affected cases were 09 Months to 25 years of age. Out of 05 blood samples tested at NCDC, Delhi, 04 found positive for Measles. All cases treated symptomatically. Health education given."
Jharkhand,East Singhbhum,Chikungunya,9,0.0,11-08-17,,Under Control,"Cases reported from Village Urban Areas Kadma, Bistupur, Sakchi, Baridih, Sidhgora & Telco, Chhota Govindpur, CHC Jugsalai Cum Golmuri. District RRT investigated the outbreak. House to house survey done. Out of 123 serum samples tested at RIMS Ranchi & MGM Medical College Jamshedpur, 09 samples tested positive for Chuikugunya. All cases treated symptomatically. Health education given."
Karnataka,Tumkur,Malaria,81,0.0,25-10-17,,Under Control,"Cases reported from several Villages (Palavalli/Tapagandoddi) and Solar Park, PHC Thirumani, Taluk Pavagad. District RRT investigated the outbreak. House to house fever survey done. All the cases were migrant laborers working in the solar park. Out of 8093 blood samples collected 81 samples were Malaria (Plasmodium falciparum) positive by rapid kit.All cases treated locally. Source reduction activities undertaken. Health education given."
Maharashtra,Jalgaon,Suspected Dengue & Chikungunya,49,1.0,10-11-17,,Under Control,"Cases reported from Village Mayur Colony Jalgaon Urban Area, Pimprala. Block Jalgaon. District RRT investigated the outbreak. House to house survey done. Out of 10 serum samples tested at GMC Aurangabad, 6 were positive for Chikungunya. All 49 blood samples tested for Malaria were found negative. All cases treated symptomatically. Health education given. Deceased was 12 yr old female tested in private lab – Dengue positive by Rapid kit."
Maharashtra,Kolhapur,Dengue,4,1.0,14-11-17,,Under Control,"Cases reported from Village/SC Patpanhala, PHC Bajar Bhogaon, Block Panhala. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples tested at SSH, CPRH Kolhapur, 04 were positive for Dengue by IgM Elisa. All cases treated symptomatically. Source reduction activities undertaken. Health education given. Deceased was 55 Yrs old Male"
Maharashtra,Nashik,Fever,8,1.0,07-11-17,,Under Surveillance,"Cases reported from Village/SC Astane, PHC Chikhalohal, Block Malegaon. District RRT investigated the outbreak. House to house survey done. 02 blood serum samples collected sent to Dhule Medical College result awaited. All cases treated symptomatically. Health education given."
Maharashtra,Nashik,Chikungunya,60,0.0,13-11-17,,Under Control,"Cases reported from Village/SC Khuntvihir, PHC Umabarthan, Block Surgana. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples tested at Dhule Medical College, 03 were Chikungunya positive. All cases treated symptomatically. Health education given."
Maharashtra,Pune,Dengue,3,1.0,06-11-17,,Under Control,"Cases reported from Village Suryanagar. MIDC, PHC Shirsuphal, Taluk Baramati. District RRT investigated the outbreak. House to house survey done. 03 blood samples tested Dengue positive. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Maharashtra,Pune,Dengue,1,1.0,28-10-17,,Under Control,"Cases reported from Village Anandnagar, PHC Pandare, Taluk Baramati. District RRT investigated the outbreak. House to house survey done. All 02 blood samples collected were positive for Dengue. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Maharashtra,Sangli,Chikungunya,17,0.0,26-10-17,,Under Control,"Cases reported from Village/SC Haripur, PHC Nandre, Block Miraj. District RRT investigated the outbreak. House to house survey done. Out of 03 Blood samples tested at Sentinal Laboratory Govt Medical College Miraj, 2 were positive for Chikungunya by Elisa test. All cases treated symptomatically. Health education given."
Maharashtra,Satara,Dengue,18,0.0,01-10-17,,Under Surveillance,"Cases reported from Village Sakharwadi, SC Hol, PHC Sakharwadi, Block Phalatan. District RRT investigated the outbreak. House to house survey done. Out of 05 blood serum samples tested at NIV, one was positive for Dengue by IgM Elisa. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Maharashtra,Satara,Chikungunya,10,0.0,20-10-17,,Under Surveillance,"Cases reported from Village Tupewadi, SC Kadhane, PHC Talmavale, Block Patan. District RRTinvestigated the outbreak. House to house survey done. Out of 05 serum samples tested at NIV, 2 were positive for Chikungunya by IgM Elisa. All cases treated symptomatically. Health education given."
Maharashtra,Satara,Dengue,16,0.0,27-10-17,,Under Surveillance,"Cases reported from Village Vadephata, SC Khed, PHC Chinchner, Block Satara. District RRT investigated the outbreak. House to house survey done. Out of 06 blood serum samples tested at NIV, Pune, 4 were positive for Dengue by IgM Elisa. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Rajasthan,Bundi,Japanese Encephalitis,14,1.0,10-11-17,,Under Surveillance,"Cases reported from Chamunda Colony, Near Power House, CHC Keshovaray, Block Kapren.. State and district RRT investigated the outbreak. Out of 13 human blood samples sent for testing to SMS medical college, Jaipur and NIV Pune, 02 found positive for Dengue, 02 for Chikungunya and 02 for JE. Two were found intermediate for JE. Result of 6 blood sample sent for JE and west Nile virus testing to NIV pune are still awaited. All 06 pigs sample found negative for JE virus. Result awaited for larva. All cases treated symptomatically. Health education given. Deceased was 30 year old female"
Uttar Pradesh,Sant Ravi Das,Food,103,0.0,01-11-17,,Under,"Cases reported from Village Rayan, CHC / Block Bhadohi. District RRT investigated the outbreak. House to house survey Nagar Poisoning Surveillance done. Health camp organized in the school and all cases treated symptomatically. Health education given."
Bihar,Nawada,Acute Diarrheal Disease,75,1.0,30-11-17,01-12-17,Under Control,"Cases reported from Village Intpakwa, PHC /Block Kawakol. District RRT investigated the outbreak. House to house survey done. Majority of cases were 0-10yrs of age. All cases treated symptomatically. Health education given. Deceased as 5 year old male child."
Maharashtra,Akola,Measles,37,0.0,26-11-17,27-11-17,Under Control,"Cases reported from Village Dhaba (Ashram School), SC Dhaba, Block Barshitakli. District RRT investigated the outbreak. House to house survey done. All 06 serum samples tested at NIV Pune, were positive for Measles. All cases treated symptomatically. Health education given."
Maharashtra,Beed,Dengue,6,0.0,30-11-17,30-11-17,Under Control,"Cases reported from Village Mochi Pimplagaon, PHC Nalwandi, Taluk Beed. District RRT investigated the outbreak. House to house survey done. Out of 06 samples tested at DPL, Beed, 04 samples were found positive for Dengue IgM ELISA. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Tripura,West Tripura,Food Poisoning,9,2.0,28-11-17,30-11-17,Under Control,"Cases reported from Village Sri Krishna Mandir Para, Gangagati Pur & Tulakona, Block Mohanpur. District RRT investigated the outbreak. House to house survey done. Food samples collected sent to SRL (AGMC), IDSP; result awaited. Health camp organized and all cases treated symptomatically. Health education given."
Uttar Pradesh,Shahjahanpur,Suspected Measles,16,0.0,28-10-17,01-12-17,Under Control,"Cases reported from Village Badhaura, CHC/PCH/Block Mirjapur. District RRT investigated the outbreak. House to house survey done. 05 blood samples, 01 throat swab, 01 urine sample collected sent to SGPGI Lucknow; result awaited. All cases treated symptomatically. Health education given."
Bihar,Nalanda,Chickenpox,12,0.0,06-11-17,,Under,"Cases reported from Village Chainpur (CRPF Camp), PHC Rajgir, SC Nekpur. District RRT investigated the outbreak. Surveillance House to house survey done. All cases treated symptomatically. Health education given."
Bihar,Samastipur,Dengue,9,0.0,10-09-17,,Under Surveillance,"Cases reported from Village/SC Basariha, Motipur, Dighrua, Jitwarpur, Hasanpur Surat, PHC/Block Dalsinghsarai, Tajpur, Patory. District RRT investigated the outbreak. House to house survey done. Out of 6 blood samples collected 4 samples were positive for dengue NS1 Positive. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Jharkhand,East Singhbhum,Suspected,6,0.0,17-11-17,,Under,"Cases reported from Villages Turikuch, Tola Mohanpur, SC Appo, Block Patamda. District RRT investigated the outbreak. Measles Control House to house survey done. All cases treated symptomatically. Health education given."
Jharkhand,East Singhbhum,Acute Diarrheal Disease,10,0.0,18-11-17,,Under Control,"Cases reported from Village Bhadua, Tola Birhore, SC Pungora, Block Ghatsila. District RRT investigated the outbreak. House to house survey done. Out of 06 water samples tested at MGM Medical Jamshedpur, 04 found non potable. All cases treated symptomatically. Health education given."
Kerala,Thrissur,Hepatitis A,21,0.0,16-09-17,,Under Control,"Cases reported from Village Corporatin, SC Punkunnam, PHCG.H Thrissur, Block Corporation. District RRT investigated the outbreak. House to house survey done. All the 03 serum samples collected sent to DMOH Lab were positive for Hepatitis A. 02 water samples collected sent to MCH Thrissur result awaited. All cases treated symptomatically. Chlorination done. Health education given."
Chhattisgarh,Dantewada,Japanese Encephalitis,1,1.0,02-12-17,04-12-17,Under Surveillance,"Cases reported from PHC Pondum, SHC Gadapal Patelpara, Block Dantewada. District RRT investigated the outbreak. House to house survey done. Blood sample collected sent to Baliram Kashyap Memorial Medical College, Jagdalpur were positive for JE (IgM ELISA). Health camp organized and all cases treated symptomatically. Health education given. Deceased was 5 year old female."
Chhattisgarh,Dantewada,Japanese Encephalitis,2,1.0,07-12-17,10-12-17,Under Surveillance,"Cases reported from VillageBenpal, PHC Bacheli, Block Dantewada. District RRT investigated the outbreak. House to house survey done. Blood samples collected sent to Baliram Kashyap Memorial Medical College Jagdalpur were positive for JE (IgM ELISA). Health camp organized and all cases treated symptomatically. Health education given. Deceased was 5 year old female."
Gujarat,Anand,Acute Diarrheal Disease,87,0.0,04-12-17,05-12-17,Under Surveillance,"Cases reported from Petlad Urban, SC Petlad, Block Petlad. District RRT investigated the outbreak. House to house survey done. 05 stool samples and 3 water samples collected sent to DPHL and Civil Hospital Petlad; result awaited. Health camp organized and all cases treated symptomatically. Health education given."
Gujarat,Kheda,Acute Diarrheal Disease,23,0.0,08-12-17,08-12-17,Under Surveillance,"Cases reported from Villages Bhulapol, Khatraj Darwaja, Raghunathpura, SC/PHC/Block Mahemdabad. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given."
Gujarat,Panchmahal,Hepatitis A,20,0.0,04-12-17,04-12-17,Under Surveillance,"Cases reported from Village Godhra, SC Patelwada, Block Godhra. District RRT investigated the outbreak. House to house survey done. All the 09 serums samples collected sent to MC Vadodara were positive for Hepatitis A (IgM ELISA). Out of 06 water samples sent to MC Vodadara 01sample was not potable. All cases treated symptomatically. Chlorination done. Health education given."
Gujarat,Patan,Food Poisoning,58,0.0,10-12-17,10-12-17,Under Control,"Cases reported from Village Vanak Vado, SC Patan, UHC Patan, Block Patan. District RRT investigated the outbreak. House to house survey done. Health camp organized and all cases treated symptomatically. Health education given."
Kerala,Wayanad,Acute Diarrheal Disease,12,0.0,30-11-17,11-12-17,Under Control,"Cases reported from Village Pinangode, SC Pinagode, PHC Vengapally, Block Thariyod. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given."
Kerala,Ernakulam,Food Poisoning,8,1.0,06-12-17,09-12-17,Under Control,"Cases reported from Village Thrikkalathoor, PHC Payipra, Block Pandapilly. District RRT investigated the outbreak. House to house survey done. Stool samples collected; result awaited. Health camp organized and all cases treated symptomatically. Health education given."
Maharashtra,Ratnagiri,Measles,17,0.0,06-12-17,06-12-17,Under Control,"Cases reported from Villages Murtawade Ktalwadi, SC Murtawde, PHC Wahal, Block Chiplun. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples collected sent to Haffkine Institute Mumbai, 4 serum samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Punjab,Kapurthala,Chickenpox,26,0.0,07-12-17,08-12-17,Under Control,Cases reported from Village Thigli. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.
Punjab,SAS Nagar,Mumps,10,0.0,07-12-17,07-12-17,Under Control,"Cases reported from Government Primary School, Village Sohana. District RRT investigated the outbreak. House to house survey done. 05 samples collected 4 samples were positive for Mumps. All cases treated symptomatically. Health education given."
Chhattisgarh,Bijapur,Japanese Encephalitis,3,0.0,22-11-17,,Under Surveillance,"Cases reported from Village Pedagellor, PHC Basaguda Sector-Tarrem, Block Usoor. District RRT investigated the outbreak. House to house survey done. 3 blood samples collected sent to Baliram Kashyap Memorial Medical College, Jagdalpur were positive for JE (IgM ELISA). Health camp organized and all cases treated symptomatically. Health education given."
Jharkhand,East Singhbhum,Chickenpox,18,0.0,29-10-17,,Under Control,"Cases reported from Village Layyam, Tola Chhardungri, SC Pagda, Block Patamda. District RRT investigated the outbreak. House to house survey done. Affected age group was 4-30 years of age. Out of 10 samples tested at RIMS Ranchi, 08 were positive for Chickenpox. All cases treated symptomatically. Health education given."
Jharkhand,East Singhbhum,Japanese Encephalitis,2,1.0,25-09-17,,Under Surveillance,"Cases reported from Urban Areas Jamshedpur City Like Bistupur & Jugsalai, CHC Jugsalai Cum Golmuri. District RRT investigated the outbreak. House to house survey done. Out of 54 serum samples collected sent to Medical College Jamshedpur, 02 serum samples were positive for JE (IgM ELISA). Health camp organized and all cases treated symptomatically. Health education given."
Kerala,Ernakulam,Influenza Type B,112,0.0,14-11-17,,Under Surveillance,"Cases reported from a school in Village Kavlangad, PHC Pallarimangalam. District RRT investigated the outbreak. All cases are students were from class VI to XII standards. Cases treated symptomatically. Most affected age group is 11 years (VI & VII standard students). Out of 05 blood samples collected sent to Manipal Institute of Virology for H1N1, all"
Kerala,Malappuram,Suspected,26,0.0,19-11-17,,Under,"Cases reported from Village Mampad, SC Pathalingal, PHC Mampad, Block Wandoor. District RRT investigated the Typhoid Control outbreak. House to house survey done.All cases treated symptomatically. Health education given."
Maharashtra,Palaghar,Dengue,20,0.0,13-11-17,,Under Control,"Cases reported from Village Jayeshwar (Balkapra) SC Dengachi, PHC Sakur, Block Jawahr. District RRT investigated the outbreak. House to house survey done. Out of 09 serum samples collected sent to ICMR Dahanu, 03 samples were positive for Dengue (IgM ELISA). All cases treated symptomatically. Health education given."
Tamil Nadu,Salem,Chikungunya,25,0.0,12-08-17,,Under Control,"Cases reported from Village Ellanur, HSC Vellalapuram, PHC Vellalapuram, Block Konganapuram. District RRT investigated the outbreak. House to house survey done. 05 serum samples collected and sent to IVCZ Hosur were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Assam,Udalguri,Malaria,93,0.0,11-12-17,11-12-17,Under control,"Cases reported from Village Kabidanga, SC Bandarguri, PHC Udalguri. District RRT investigated the outbreak. House to house fever survey done. Out of 93 blood samples collected 21 samples were positive for malaria (Pf) and 04 samples were positive for malaria (Pv). All cases treated locally. Source reduction activities undertaken. Health education given."
Gujarat,Kheda,Cholera?,2,0.0,13-12-17,13-12-17,Under surveillance,"Cases reported from Village Kaloli, SC Kaloli, PHC Nayka, Block Kheda. District RRT investigated the outbreak. House to house survey done. 01 stool samples collected and sent to LG Hospital Ahmedabad was found to be positive for Cholera culture. All cases treated symptomatically. Health education given."
Gujarat,Narmada,Food Poisoning,154,0.0,11-12-17,11-12-17,Under control,"Cases reported from UHC Rajpipla, Taluk Nandod. District RRT investigated the outbreak. House to house survey done. Food samples (Milk samples, 04 vomitus and 02 water samples) collected; result awaited. Health camp organized and all cases treated symptomatically. Health education given."
Jharkhand,West Singhbhum,Food Poisoning,14,0.0,11-12-17,11-12-17,Under control,"Cases reported from S.T. Hostel, Mahila College, CHC Sadar Chaibasa. District RRT investigated the outbreak. House to house survey done. 04 stool samples collected sent to DPHL, Chaibasa; result awaited. Health camp organized and all cases treated symptomatically. Health education given."
Jharkhand,West Singhbhum,Malaria,28,0.0,09-12-17,13-12-17,Under control,"Cases reported from Village Medasai, CHC Manoharpur. District RRT investigated the outbreak. House to house fever survey done. Out of 28 blood samples collected 22 blood samples were positive for malaria (Pf) and 6 samples were positive for malaria (Pv).All cases treated locally. Source reduction activities undertaken. Health education given."
Bihar,Nawada,Measles,9,0.0,05-12-17,,Under control,"Cases reported from Village Krishna Nagar, SC Daulatiya, PHC/Block Sadar. District RRT investigated the outbreak. House to house survey done. 05 blood samples collected sent to PMCH Patna result awaited. All cases treated symptomatically. Health education given."
Maharashtra,Sangli,Chikungunya,28,0.0,23-11-17,,Under control,"Cases reported from Village/SC Budhagaon, PHC Kavalapur, Block Miraj. District RRT investigated the outbreak. House to house survey done. Out of 17 blood serum samples collected and sent to Govt Medical College Miraj, 07 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Sangli,Chikungunya,15,0.0,27-11-17,,Under control,"Cases reported from Village/SC Amanapur, PHC Bhilwadi, Block Palus. District RRT investigated the outbreak. House to house survey done. Out of 09 blood serum samples collected and sent to Sentinel Laboratory Govt Medical College Miraj 03 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
"Dantewada, Bijapur, Bastar, Sukma&Dhamtari",Japanese Encephalitis,A total of 17 cases and 4 deaths were reported from several,17,4.0,22-11-17,,Under surveillance," districts Dantewada (6 cases and 3 deaths), Bijapur (4 cases), Bastar (4 cases), Sukma (2 cases), Dhamtari (1 case and 1 death) since January - 14 December 2017. District RRT investigated the outbreak. House to house survey done. All 17 cases were positive for JE (IgM ELISA). 3 deaths occurred in less than 5yrs and 1 death occurred in 13yr old male. All the cases were less than 13yrs of age. All cases treated symptomatically. Health education given."
Bihar,Purnia,Chickenpox,16,0.0,20-11-17,23-12-17,Under control,"Cases reported from Central Jail, Purnea. District RRT investigated the outbreak. House to house survey done. Blood samples collected sent to PMCH; result awaited. All cases treated symptomatically. Health education given."
Chhatisgarh,Rajnandgaon,Chickenpox,41,0.0,14-12-17,21-12-17,Under Surveillance,"Cases reported from Village Jhaidikhairi, PHC Khoba, Block Chhuriya. District RRT investigated the outbreak. House to house survey done. Blood samples and swab samples collected sent to Govt. Medical College Raipur; result awaited. All cases treated symptomatically. Health education given."
Himachal Pradesh,Kangra,Acute Diarrhoeal Disease,50,0.0,18-12-17,19-12-17,Under Surveillance,"Cases of loose motion reported from Village/SC Kand and Thatri, PHC Khaniyara, Block Tiara. District RRT investigated the outbreak. House to house survey done. All the cases consumed contaminated water from Nala (Khud). All cases treated symptomatically. ORS packets were distributed in the community. Health education given."
Himachal Pradesh,Kangra,Acute Diarrhoeal Disease,20,0.0,18-12-17,19-12-17,Under Surveillance,"Cases reported from Village Latwala, HSC Bagora, CHC Gopalpur, Block Gopalpur. District RRT investigated the outbreak. House to house survey done. 2 water samples collected and tested at Dr Rajendra Prasad Govt. Medical College & Hospital, Tanda were not portable for drinking purposes. All cases treated symptomatically. Health education given."
Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,44,0.0,20-12-17,21-12-17,Under Surveillance,"Cases reported from Village Bagsaid, SC Dharot Kandha Kalhani, CHC Bagsaid. District RRT investigated the outbreak. House to house survey done. 2 water sample collected and sent to DPHL lab, Mandi; result awaited. All cases treated symptomatically. Health education given."
Jharkhand,Bokaro,Measles,13,0.0,21-12-17,23-12-17,Under Surveillance,"Cases reported from Village Mirzapur, HSC Arjua, Block Peterwar. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples collected sent to Institute of Serology Kolkata 3 samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Jharkhand,SaraikelaKharsa wan,Measles,44,0.0,11-12-17,21-12-17,Under Surveillance,"Cases reported from Village Khariyadih, HSC Bareda, CHC Nimdih. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples collected sent to Institute of Serology Kolkata 3 samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Nandurbar,Chikungunya?,13,0.0,14-12-17,22-12-17,Under control,"Cases reported from Village/SC Ranale Khu, PHC Dhakwad, Block Nandurbar. District RRT investigated the outbreak. House to house survey done. Out of 5 blood samples collected and tested for Chikungunya and dengue, 1 sample was positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Sangli,Acute Diarrhoeal Disease,32,0.0,15-12-17,19-12-17,Under Surveillance,"Cases reported from VillageManewadi, SC Gomewadi, PHC Kargani, Block Atpadi. District RRT investigated the outbreak. House to house survey done. All 03 stool samples collected sent to Govt Medical College Miraj showed no growth of pathogens. All cases treated symptomatically. Health education given."
Maharashtra,Sangli,Acute Diarrhoeal Disease,21,0.0,17-12-17,22-12-17,Under control,"Cases reported from Village Kapari, SC Ingrul, PHC Mangale, Block Shirala. District RRT investigated the outbreak. House to house survey done. All 02 stool samples collected sent to Govt Medical College Miraj showed no growth of pathogens. All cases treated symptomatically. Health education given."
Bihar,Katihar,Chickenpox,13,0.0,06-12-17,,Under control,"Cases reported from Village Badi Majheili, SC Sirsa, PHC Katihar, Block Sadar. District RRT investigated the outbreak. House to house survey done. All the cases were less than 5yrs of age. All cases treated symptomatically. Health education given."
Maharashtra,Jalna,Chikungunya,11,0.0,02-12-17,,Under control,"Cases reported from Village Brahmanwadi, Partur, SC Akoli, PHC Ashti, Block Partur. District RRT investigated the outbreak. House to house survey done. All the 11 blood samples collected sent to Sentinel Center Aurangabad were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Rajasthan,Nagaur,Dengue,30,0.0,04-10-17,,Under Control,"Cases reported from Village Harijan Basti Nagaur, SC New Teliwara Naya Darwaja, Block Teliwara. District RRT investigated the outbreak. House to house survey done. Out of 24 serum samples collected sent to JLN Medical College Ajmer 13 samples were found positive for Dengue. All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Uttar Pradesh,Unnao,Measles,8,0.0,08-12-17,,Under,"Cases reported from Village Dhoha, CHC Bichhia, Block Bichhia. District RRT investigated the outbreak. House to control house survey done. All cases treated symptomatically. Health education given."
Assam,Nagaon,Suspected Measles,22,0.0,26-12-17,26-12-17,Under surveillance,"Cases reported from Village Pub-Padumoni, SC Longjap, PHC Kathiatoli. District RRT investigated the outbreak. House to house survey done. 05 serum samples, 01urine and 01 throat swab samples collected sent to GMCH Virology Dept. Guwahati; result awaited. All cases treated symptomatically. Health education given."
Assam,Udalguri,Acute Diarrheal Disease,28,0.0,30-12-17,30-12-17,Under control,"Cases reported from Village All Rabha Sahitya Sabha, CHC Tangla, PHC Udalguri. District RRT investigated the outbreak. House to house survey done. Health camp organized and all cases treated symptomatically. Health education given."
Bihar,Muzaffarpur,Chickenpox,14,0.0,21-12-17,28-12-17,Under control,"Cases reported from Village Bangla, HSC Panapur, PHC/Block Minapur. District RRT investigated the outbreak. House to house survey done. lab samples not collected. All cases treated symptomatically. Health education given."
Gujarat,Surat,Cholera?,65,0.0,24-12-17,27-12-17,Under surveillance,"Cases reported from Village Tatithaiya, SC Bagumara, PHC Gangadhara, Block Palsan. District RRT investigated the outbreak. House to house survey done. Pipeline leakages were observed in the community. Cases consumed contaminated water (mixed with sewage) and presented symptoms of diarrhea. 01 stool samples collected sent to New Civil Hospital Surat; found positive for cholera by hanging drop method. All cases treated symptomatically. Pipeline leakages were repaired and alternate drinking water supplied. Health education given."
Karnataka,Bangalore Urban,Cholera,19,2.0,28-12-17,30-12-17,Under surveillance,"Cases of diarrhoea reported from Village Balagere, PHC/CHC Varthuru, Taluk Bangalroe East. District RRT investigated the outbreak. House to house survey done. Affected area has a large number of labour sheds (150-200) in the vicinity. Open defecation is rampant in the area. 2 deaths occurred 57yr and 20yrs male. Out of 10 stools samples collected; 6 samples were positive for Cholera (ogawa) culture. Out of 3 water samples collected and sent to PHI, Bangalore; 2 samples were not potable. All cases treated symptomatically. Health education given."
Uttar Pradesh,Lucknow,Measles,9,0.0,27-12-17,27-12-17,Under surveillance,"Cases of fever with rash, cough, cold and coryza reported from Village Awadh Vihar CHC Sarojninagr. District RRT investigated the outbreak. House to house survey done. Affected age group; 4 male children in the age group between 6-18yrs and 5 female age group between 9-22 yrs. Out of 5 serum samples collected and sent to SGPGI, 1 sample was equivocal for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Uttar Pradesh,Shahjahanpur,Measles,14,0.0,18-12-17,30-12-17,Under surveillance,"Cases reported from Village Mo. Bahadurganj, Block Tihar. District RRT investigated the outbreak. House to house survey done. 5 blood 01 Urine and 01 Throat swab samples collected sent to SGPGI Lucknow result awaited. All cases treated symptomatically. Vitamin A supplementation given to the affected children. Health education given."
Uttar Pradesh,Siddharth Nagar,Measles,13,0.0,18-12-17,30-12-17,Under surveillance,"Cases reported from Village Bhanpurpur Rani, SC Bhanpurpur, PHC Dumariyagunj, Block Dumariyagunj. District RRT investigated the outbreak. House to house survey done. All cases were below 10yrs of age. Out of 06 serum samples collected sent to Lucknow SGPGI Lab; 3 samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Andhra Pradesh,Visakhapatnam,Anthrax,7,0.0,18-12-17,,Under surveillance,"Cases reported from Village Pinapadu, PHC Lothugedda, Chintapali Mandal. District RRT investigated the outbreak. House to house survey done. Cases had consumed deceased cow meat. Out of 5 lesion samples sent to Microbiology Department, Andhra Medical College, Visakhapatnam; 4 samples were positive for B.anthracis culture. Blood smears from cattle found negative for Anthrax bacilli by Methylene Blue and Giemsa’s staining. Health education given."
